[291] TABLE PLLA_TIPO_CANTIDAD (owner: ENOC, 3 rows)
[292] TABLE PLLA_TIPO_CARRERA (owner: ENOC, 3 rows)
[293] TABLE PLLA_TIPO_CATEG_OCUPA (owner: ENOC, 3 rows)
[294] TABLE PLLA_TIPO_CLAS_REVISION (owner: ENOC, 3 rows)
[295] TABLE PLLA_TIPO_COMISION_PENS (owner: ENOC, 2 rows)
[296] TABLE PLLA_TIPO_CONCEPTO (owner: ENOC, 7 rows)
[297] TABLE PLLA_TIPO_CONCEPTO_SUNAT (owner: ENOC, 13 rows)
[298] TABLE PLLA_TIPO_CONCEP_ADIC (owner: ENOC, 4 rows)
[299] TABLE PLLA_TIPO_CONCEP_ADIC_EST (owner: ENOC, 21 rows)
[300] TABLE PLLA_TIPO_CONFIG_HORARIO (owner: ENOC, 4 rows)
[301] TABLE PLLA_TIPO_CONST_CERTI (owner: ENOC, 2 rows)
[302] TABLE PLLA_TIPO_CONTRATO (owner: ENOC, 19 rows)
[303] TABLE PLLA_TIPO_CUESTIO_ADIC (owner: ENOC, 3 rows)
[304] TABLE PLLA_TIPO_DOBLE_TRIB (owner: ENOC, 5 rows)
[305] TABLE PLLA_TIPO_DOCUMENTO (owner: ENOC, 6 rows)
[306] TABLE PLLA_TIPO_DOC_REGLA (owner: ENOC, 3 rows)
[307] TABLE PLLA_TIPO_DOC_REVISION (owner: ENOC, 3 rows)
[308] TABLE PLLA_TIPO_ENTREVISTA (owner: ENOC, 4 rows)
[309] TABLE PLLA_TIPO_ESPDIP (owner: ENOC, 3 rows)
[310] TABLE PLLA_TIPO_EVAL_NIVEL (owner: ENOC, 3 rows)
[311] TABLE PLLA_TIPO_FERIADO (owner: ENOC, 3 rows)
[312] TABLE PLLA_TIPO_HORARIO (owner: ENOC, 23 rows)
[313] TABLE PLLA_TIPO_HORARIO_TRAB (owner: ENOC, 169 rows)
[314] TABLE PLLA_TIPO_HORA_PAGO (owner: ENOC, 4 rows)
[315] TABLE PLLA_TIPO_HORA_PAGO_HORARIO (owner: ENOC, 4 rows)
[316] TABLE PLLA_TIPO_INST_ATENCION (owner: ENOC, 2 rows)
[317] TABLE PLLA_TIPO_JEFE (owner: ENOC, 5 rows)
[318] TABLE PLLA_TIPO_KILOMETRAJE (owner: ENOC, 3 rows)
[319] TABLE PLLA_TIPO_LEGAJO (owner: ENOC, 12 rows)
[320] TABLE PLLA_TIPO_MARCACION (owner: ENOC, 7 rows)
[321] TABLE PLLA_TIPO_MODALIDAD (owner: ENOC, 4 rows)
[322] TABLE PLLA_TIPO_MODALIDAD_FORM (owner: ENOC, 8 rows)
[323] TABLE PLLA_TIPO_MODALIDAD_TRAB (owner: ENOC, 3 rows)
[324] TABLE PLLA_TIPO_MODULO (owner: ENOC, 1 rows)
[325] TABLE PLLA_TIPO_NIVEL (owner: ENOC, 4 rows)
[326] TABLE PLLA_TIPO_NIVEL_COMP (owner: ENOC, 4 rows)
[327] TABLE PLLA_TIPO_NIVEL_RESP (owner: ENOC, 3 rows)
[328] TABLE PLLA_TIPO_ORIGEN (owner: ENOC, 2 rows)
[329] TABLE PLLA_TIPO_PAGO (owner: ENOC, 3 rows)
[330] TABLE PLLA_TIPO_PAGO_MENSUAL (owner: ENOC, 0 rows)
[331] TABLE PLLA_TIPO_PARAM_PLANTILLA (owner: ENOC, 5 rows)
[332] TABLE PLLA_TIPO_PERIODO_BS (owner: ENOC, 4 rows)
[333] TABLE PLLA_TIPO_PERM_LIC (owner: ENOC, 5 rows)
[334] TABLE PLLA_TIPO_PLANILLA (owner: ENOC, 5 rows)
[335] TABLE PLLA_TIPO_REPORTE_GEN (owner: ENOC, 1 rows)
[336] TABLE PLLA_TIPO_REQ (owner: ENOC, 6 rows)
[337] TABLE PLLA_TIPO_REQ_OTROS (owner: ENOC, 2 rows)
[338] TABLE PLLA_TIPO_ROL_VAC (owner: ENOC, 3 rows)
[339] TABLE PLLA_TIPO_SOBRETIEMPO (owner: ENOC, 4 rows)
[340] TABLE PLLA_TIPO_SUPERVISION (owner: ENOC, 4 rows)
[341] TABLE PLLA_TIPO_SUSPENSION (owner: ENOC, 28 rows)
[342] TABLE PLLA_TIPO_SUSPENSION_TMP (owner: ENOC, 0 rows)
[343] TABLE PLLA_TIPO_TRAMO (owner: ENOC, 5 rows)
[344] TABLE PLLA_TOKEN (owner: ENOC, 49 rows)
[345] TABLE PLLA_TOKEN_OPERACION (owner: ENOC, 43 rows)
[346] TABLE PLLA_TRABAJADOR_DOCUMENTO (owner: ENOC, 15 rows)
[347] TABLE PLLA_TRABAJADOR_SCTR (owner: ENOC, 250 rows)
[348] TABLE PLLA_TRAMO_INGRESO (owner: ENOC, 5 rows)
